"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 07:52:21 GMT 2022","Tue Sep 06 07:52:21 GMT 2022","291","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 07:52:20 GMT 2022","Tue Sep 06 07:52:28 GMT 2022","8291","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 07:52:15 GMT 2022","Tue Sep 06 07:52:16 GMT 2022","858","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 07:52:14 GMT 2022","Tue Sep 06 07:52:15 GMT 2022","393","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 07:52:14 GMT 2022","Tue Sep 06 07:52:14 GMT 2022","384","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 07:52:19 GMT 2022","Tue Sep 06 07:52:22 GMT 2022","2573","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 07:52:21 GMT 2022","Tue Sep 06 07:52:22 GMT 2022","415","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 07:52:21 GMT 2022","Tue Sep 06 07:52:24 GMT 2022","3561","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 07:52:22 GMT 2022","Tue Sep 06 07:52:23 GMT 2022","1750","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 07:52:13 GMT 2022","Tue Sep 06 07:52:21 GMT 2022","7768","","Base page test","","Base page test","Signing in","Signing in",""
