"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 12:23:22 GMT 2022","Mon Sep 05 12:23:27 GMT 2022","5040","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Mon Sep 05 12:23:19 GMT 2022","Mon Sep 05 12:23:20 GMT 2022","1561","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Mon Sep 05 12:23:18 GMT 2022","Mon Sep 05 12:23:20 GMT 2022","1271","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 05 12:23:17 GMT 2022","Mon Sep 05 12:23:22 GMT 2022","5114","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Mon Sep 05 12:23:18 GMT 2022","Mon Sep 05 12:23:18 GMT 2022","368","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Mon Sep 05 12:23:27 GMT 2022","Mon Sep 05 12:23:28 GMT 2022","1089","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Mon Sep 05 12:23:26 GMT 2022","Mon Sep 05 12:23:26 GMT 2022","243","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Mon Sep 05 12:23:18 GMT 2022","Mon Sep 05 12:23:19 GMT 2022","229","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Mon Sep 05 12:23:23 GMT 2022","Mon Sep 05 12:23:25 GMT 2022","2265","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 05 12:23:26 GMT 2022","Mon Sep 05 12:23:27 GMT 2022","233","","Base page test","","Base page test","POST test request","POST test request",""
